Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-state,ship-country,B2B,fulfilled-by
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,399.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,399.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,399.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,L,Shipped,1,INR,387.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,583.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,1,INR,744.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,497.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,0.0,ODISHA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,XS,Shipped,1,INR,399.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,1,INR,725.0,BIHAR,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,999.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,295.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Set,XS,Shipped,1,INR,1115.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,1,INR,499.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,1,INR,791.0,UTTARAKHAND,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,533.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,1,INR,563.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,458.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,1,INR,1099.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,459.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,XL,Shipped,1,INR,339.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,888.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,487.0,ODISHA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,487.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,1233.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,3XL,Shipped,1,INR,825.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,471.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,342.0,MADHYA PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,1,INR,725.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,759.0,MEGHALAYA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,1,INR,744.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,459.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,471.0,KERALA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,544.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,1,INR,0.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,L,Shipped,1,INR,885.0,ASSAM,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,6XL,Shipped,1,INR,505.0,KERALA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,666.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,432.0,UTTARAKHAND,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XS,Shipped,1,INR,0.0,PUNJAB,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XS,Shipped,1,INR,725.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,353.0,MEGHALAYA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,568.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,568.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,399.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XS,Shipped,1,INR,0.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,631.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,399.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Top,L,Shipped,1,INR,599.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blouse,XL,Shipped,1,INR,329.0,PUNJAB,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,549.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,599.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,533.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,362.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,549.0,UTTARAKHAND,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,319.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,M,Shipped,1,INR,463.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,471.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,L,Shipped,1,INR,625.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,L,Shipped,1,INR,518.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,364.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,S,Shipped,1,INR,825.0,Gujarat,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XS,Shipped,1,INR,568.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,1099.0,JAMMU & KASHMIR,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,1,INR,696.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,499.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,487.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,363.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,562.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,XXL,Shipped,1,INR,518.0,MAHARASHTRA,IN,True,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,759.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XS,Shipped,1,INR,888.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,487.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,597.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,363.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,1,INR,788.0,MEGHALAYA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,1,INR,662.0,ANDHRA PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,316.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,1099.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,362.0,DADRA AND NAGAR,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,342.0,DADRA AND NAGAR,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,363.0,DADRA AND NAGAR,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,329.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,399.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blouse,L,Shipped,1,INR,0.0,ASSAM,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,471.0,Gujarat,IN,False,Easy Ship
2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,0.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,666.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,1173.0,BIHAR,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,459.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,6XL,Shipped,1,INR,692.0,Gujarat,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XS,Shipped,1,INR,666.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,696.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,1,INR,1199.0,MADHYA PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,568.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,1,INR,680.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,399.0,UTTARAKHAND,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XS,Shipped,1,INR,725.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,295.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,499.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,M,Shipped,1,INR,518.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,L,Shipped,1,INR,413.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XS,Shipped,1,INR,1186.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Top,S,Shipped,1,INR,518.0,ODISHA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,1099.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,534.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,280.0,KARNATAKA,IN,True,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,475.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XL,Shipped,1,INR,744.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,626.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,449.0,RAJASTHAN,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,S,Shipped,1,INR,391.0,KERALA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,399.0,ANDHRA PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,249.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,1099.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,474.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,XXL,Shipped,1,INR,413.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,495.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,459.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,1238.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,0.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XS,Shipped,1,INR,725.0,KERALA,IN,False,Easy Ship
2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Set,3XL,Shipped,1,INR,613.0,DELHI,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,499.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Ethnic Dress,XL,Shipped,1,INR,783.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,653.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,1,INR,0.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XS,Shipped,1,INR,1186.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,362.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,1186.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,1213.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,922.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,685.0,CHHATTISGARH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,788.0,PUDUCHERRY,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,1,INR,791.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,696.0,ASSAM,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,685.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,517.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,1,INR,1092.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,L,Shipped,1,INR,329.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Western Dress,XXL,Shipped,1,INR,699.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,635.0,Gujarat,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,487.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,582.0,TAMIL NADU,IN,False,Easy Ship
